SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,ID
NCC1=CO[C@H](/C=C/CCC(=O)N2N=NC3=C2N=CN=C3O)CO1,18/000000040,"InChI=1S/C14H16N6O4/c15-5-10-7-23-9(6-24-10)3-1-2-4-11(21)20-13-12(18-19-20)14(22)17-8-16-13/h1,3,7-9H,2,4-6,15H2,(H,16,17,22)/b3-1+/t9-/m1/s1",C14H16N6O4,332.0,-0.33,5.25,4.74,4.94,-190.0,4.332046242802354,1,DRUGLIKE_CONCAT,Druglike_11
NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC=CC=C2O)CO)=N1,21/000000019,"InChI=1S/C15H16N6O2/c16-13-10-7-18-21-15(10)20-14(19-13)9(8-22)3-1-4-11-12(23)5-2-6-17-11/h1-3,5-7,9,22-23H,4,8H2,(H3,16,18,19,20,21)/b3-1+/t9-/m0/s1",C15H16N6O2,312.0,0.6,5.22,4.13,20.2,-190.0,3.905465920816269,1,DRUGLIKE_CONCAT,Druglike_12
O=C(CC1=CC(C2=CN=CCN2)=CC=C1C(=O)O)C1=CC=C(Br)C=C1O,3/000000259,"InChI=1S/C19H15BrN2O4/c20-13-2-4-15(18(24)9-13)17(23)8-12-7-11(1-3-14(12)19(25)26)16-10-21-5-6-22-16/h1-5,7,9-10,22,24H,6,8H2,(H,25,26)",C19H15N2O4Br,415.0,3.07,5.22,7.04,5.08,-160.0,3.0233038835627113,1,DRUGLIKE_CONCAT,Druglike_13
CC1=CC(CCCC2=C[C@@H](C(=O)O)C=C(C(=O)OCCN)O2)=CN=C1I,2/000000019,"InChI=1S/C18H21IN2O5/c1-11-7-12(10-21-16(11)19)3-2-4-14-8-13(17(22)23)9-15(26-14)18(24)25-6-5-20/h7-10,13H,2-6,20H2,1H3,(H,22,23)/t13-/m1/s1",C18H21N2O5I,472.0,2.12,5.21,5.23,24.3,-170.0,3.991686406536865,1,DRUGLIKE_CONCAT,Druglike_14
C=CC1=CC=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1I,23/000000470,"InChI=1S/C15H10IN3O3/c1-2-8-3-4-9(7-10(8)16)11-5-6-12(17-11)13(20)14-18-15(21)22-19-14/h2-7,17H,1H2,(H,18,19,21)",C15H10N3O3I,407.0,3.35,5.2,5.76,3.58,-120.0,3.366353133861695,1,DRUGLIKE_CONCAT,Druglike_15
O=C1C=C(CCO)[C@@H](/C=C/C2=CN=C(C(=O)O)C(Br)=C2)N1,13/000000015,"InChI=1S/C14H13BrN2O4/c15-10-5-8(7-16-13(10)14(20)21)1-2-11-9(3-4-18)6-12(19)17-11/h1-2,5-7,11,18H,3-4H2,(H,17,19)(H,20,21)/b2-1+/t11-/m1/s1",C14H13N2O4Br,353.0,0.18,5.17,6.0,3.85,-150.0,3.905083296126063,1,DRUGLIKE_CONCAT,Druglike_16
O=C(C1=CC=C(C2=CC=C(CF)C(CCO)=C2)N1)C1=NC(=O)ON1,23/000000421,"InChI=1S/C16H14FN3O4/c17-8-11-2-1-10(7-9(11)5-6-21)12-3-4-13(18-12)14(22)15-19-16(23)24-20-15/h1-4,7,18,21H,5-6,8H2,(H,19,20,23)",C16H14N3O4F,331.0,1.44,5.14,5.91,5.09,-120.0,3.2548475098723717,1,DRUGLIKE_CONCAT,Druglike_17
O=C(O)C1=CN=C(O)N=C1C/C=C/C1=CC=CC=C1,29/000000024,"InChI=1S/C14H12N2O3/c17-13(18)11-9-15-14(19)16-12(11)8-4-7-10-5-2-1-3-6-10/h1-7,9H,8H2,(H,17,18)(H,15,16,19)/b7-4+",C14H12N2O3,256.0,2.11,5.13,6.3,3.85,0.0,2.6553002255758003,1,DRUGLIKE_CONCAT,Druglike_18
NCCOC(=O)C1=C[C@H](C(=O)O)C=C(CCCC2=CN=C(I)C(O)=C2)O1,2/000000012,"InChI=1S/C17H19IN2O6/c18-15-13(21)6-10(9-20-15)2-1-3-12-7-11(16(22)23)8-14(26-12)17(24)25-5-4-19/h6-9,11,21H,1-5,19H2,(H,22,23)/t11-/m1/s1",C17H19N2O6I,474.0,1.49,5.12,4.74,24.9,-170.0,4.005436406536866,1,DRUGLIKE_CONCAT,Druglike_19
N[C@H](CO)CN1C=C(CC(=O)CNC/C=C/C2=CC(F)=CC=C2F)NC1,16/000000077,"InChI=1S/C18H24F2N4O2/c19-14-3-4-18(20)13(6-14)2-1-5-22-8-17(26)7-16-10-24(12-23-16)9-15(21)11-25/h1-4,6,10,15,22-23,25H,5,7-9,11-12,21H2/b2-1+/t15-/m0/s1",C18H24N4O2F2,366.0,0.93,5.12,4.2,5.09,-190.0,4.02364657513539,1,DRUGLIKE_CONCAT,Druglike_20
O=C(O)C1=CC(CO)=C(C(=O)C2=CC=C[C@@H](CC#CCO)O2)N1,4/000000019,"InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1",C16H15NO6,317.0,-0.14,5.12,4.95,4.94,-150.0,4.217253901585501,1,DRUGLIKE_CONCAT,Druglike_21
O=C(O)C1=CN=C(O)N=C1[C@@H](O)/C=C/C1=CC(O)=NO1,29/000000165,"InChI=1S/C11H9N3O6/c15-7(2-1-5-3-8(16)14-20-5)9-6(10(17)18)4-12-11(19)13-9/h1-4,7,15H,(H,14,16)(H,17,18)(H,12,13,19)/b2-1+/t7-/m0/s1",C11H9N3O6,279.0,-0.22,5.12,6.46,5.24,-150.0,4.107837607569538,1,DRUGLIKE_CONCAT,Druglike_22
O=C(CO)C1=C(Cl)N=CC(C#CCCC2=CC(O)=NC=C2)=N1,19/000000037,"InChI=1S/C15H12ClN3O3/c16-15-14(12(21)9-20)19-11(8-18-15)4-2-1-3-10-5-6-17-13(22)7-10/h5-8,20H,1,3,9H2,(H,17,22)",C15H12N3O3Cl,317.0,0.86,5.11,7.18,19.7,0.0,3.3693568559460623,1,DRUGLIKE_CONCAT,Druglike_23
C=C(C(=O)C1=C[C@@H](C(=O)O)C(C(=O)CC2=NNC=N2)=C1)C1=C(F)C=CC(F)=C1,1/000000020,"InChI=1S/C19H13F2N3O4/c1-9(12-6-11(20)2-3-15(12)21)18(26)10-4-13(14(5-10)19(27)28)16(25)7-17-22-8-23-24-17/h2-6,8,14H,1,7H2,(H,27,28)(H,22,23,24)/t14-/m1/s1",C19H13N3O4F2,385.0,1.78,5.11,5.98,4.94,-190.0,4.236621105092512,1,DRUGLIKE_CONCAT,Druglike_24
CC1=CC=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1I,23/000000364,"InChI=1S/C14H10IN3O3/c1-7-2-3-8(6-9(7)15)10-4-5-11(16-10)12(19)13-17-14(20)21-18-13/h2-6,16H,1H3,(H,17,18,20)",C14H10N3O3I,395.0,3.07,5.11,6.27,3.58,-140.0,3.091651964630344,1,DRUGLIKE_CONCAT,Druglike_25
C=C(C)C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1CF,23/000000365,"InChI=1S/C17H14FN3O3/c1-9(2)12-7-10(3-4-11(12)8-18)13-5-6-14(19-13)15(22)16-20-17(23)24-21-16/h3-7,19H,1,8H2,2H3,(H,20,21,23)",C17H14N3O3F,327.0,2.76,5.11,6.28,5.09,-140.0,3.347080794805173,1,DRUGLIKE_CONCAT,Druglike_26
O=C(C1=CC=C(C2=CC=C(F)C(I)=C2)N1)C1=NC(=O)ON1,23/000000401,"InChI=1S/C13H7FIN3O3/c14-7-2-1-6(5-8(7)15)9-3-4-10(16-9)11(19)12-17-13(20)21-18-12/h1-5,16H,(H,17,18,20)",C13H7N3O3FI,399.0,3.0,5.1,5.82,3.58,-120.0,3.149467870758116,1,DRUGLIKE_CONCAT,Druglike_27
O=C(O)C1=CN=C(O)N=C1[C@@H](O)/C=C/C1=NN=CCN1,29/000000140,"InChI=1S/C11H11N5O4/c17-7(1-2-8-12-3-4-14-16-8)9-6(10(18)19)5-13-11(20)15-9/h1-2,4-5,7,17H,3H2,(H,12,16)(H,18,19)(H,13,15,20)/b2-1+/t7-/m0/s1",C11H11N5O4,277.0,-0.06,5.1,6.31,5.24,-150.0,4.581601833343763,1,DRUGLIKE_CONCAT,Druglike_28
C=C(C(=O)C1=C[C@@H](C(=O)O)C(C(=O)CNCC(=O)O)=C1)C1=C(F)C=CC(F)=C1,1/000000017,"InChI=1S/C19H15F2NO6/c1-9(12-6-11(20)2-3-15(12)21)18(26)10-4-13(14(5-10)19(27)28)16(23)7-22-8-17(24)25/h2-6,14,22H,1,7-8H2,(H,24,25)(H,27,28)/t14-/m1/s1",C19H15NO6F2,391.0,0.68,5.09,5.58,6.45,-150.0,3.7759943078897145,1,DRUGLIKE_CONCAT,Druglike_29
O=C(CNC/C=C/C1=C(F)C=CC(F)=C1)CC1=CC=C(CO)C=C1,16/000000020,"InChI=1S/C19H19F2NO2/c20-17-7-8-19(21)16(11-17)2-1-9-22-12-18(24)10-14-3-5-15(13-23)6-4-14/h1-8,11,22-23H,9-10,12-13H2/b2-1+",C19H19NO2F2,331.0,2.82,5.09,4.94,5.09,0.0,2.439087102632552,1,DRUGLIKE_CONCAT,Druglike_30
N[C@H](C1=COC(CO)=C1)C1=NC(I)=C(C#CC(=O)O)C=C1,26/000000076,"InChI=1S/C14H11IN2O4/c15-14-8(2-4-12(19)20)1-3-11(17-14)13(16)9-5-10(6-18)21-7-9/h1,3,5,7,13,18H,6,16H2,(H,19,20)/t13-/m1/s1",C14H11N2O4I,398.0,0.79,5.09,3.59,22.5,-150.0,4.058727858460282,1,DRUGLIKE_CONCAT,Druglike_31
O=C(C1=CC=C(C2=C(F)C(CCO)=CC=C2)N1)C1=NC(=O)ON1,23/000000451,"InChI=1S/C15H12FN3O4/c16-12-8(6-7-20)2-1-3-9(12)10-4-5-11(17-10)13(21)14-18-15(22)23-19-14/h1-5,17,20H,6-7H2,(H,18,19,22)",C15H12N3O4F,317.0,1.28,5.09,6.36,5.09,-120.0,3.112934802559633,1,DRUGLIKE_CONCAT,Druglike_32
CCC#CCNCC1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1Cl,23/000000406,"InChI=1S/C19H17ClN4O3/c1-2-3-4-9-21-11-13-10-12(5-6-14(13)20)15-7-8-16(22-15)17(25)18-23-19(26)27-24-18/h5-8,10,21-22H,2,9,11H2,1H3,(H,23,24,26)",C19H17N4O3Cl,384.0,2.81,5.08,4.98,4.94,-140.0,3.307677010789071,1,DRUGLIKE_CONCAT,Druglike_33
C/C=C/C1=CC=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1NC(N)=O,23/000000428,"InChI=1S/C17H15N5O4/c1-2-3-9-4-5-10(8-13(9)20-16(18)24)11-6-7-12(19-11)14(23)15-21-17(25)26-22-15/h2-8,19H,1H3,(H3,18,20,24)(H,21,22,25)/b3-2+",C17H15N5O4,353.0,0.98,5.08,5.8,6.45,-140.0,3.223064052161236,1,DRUGLIKE_CONCAT,Druglike_34
NCCOC(=O)C1=C[C@H](C(=O)O)C=C(CCCC2=CN=C(I)C=C2)O1,2/000000002,"InChI=1S/C17H19IN2O5/c18-15-5-4-11(10-20-15)2-1-3-13-8-12(16(21)22)9-14(25-13)17(23)24-7-6-19/h4-5,8-10,12H,1-3,6-7,19H2,(H,21,22)/t12-/m1/s1",C17H19N2O5I,458.0,1.89,5.07,3.67,23.7,-170.0,3.8963006807223746,1,DRUGLIKE_CONCAT,Druglike_35
NCCCC#CC1=CC2=C(C=C1)CC(C(=O)O)=C2,26/000000048,"InChI=1S/C15H15NO2/c16-7-3-1-2-4-11-5-6-12-9-14(15(17)18)10-13(12)8-11/h5-6,8,10H,1,3,7,9,16H2,(H,17,18)",C15H15NO2,241.0,1.86,5.06,6.17,16.8,-40.0,2.8703946115122765,1,DRUGLIKE_CONCAT,Druglike_36
O=C(O)C1=CN=C(O)N=C1CCCC1=CC=C2N=CC=CC2=C1,29/000000220,"InChI=1S/C17H15N3O3/c21-16(22)13-10-19-17(23)20-15(13)5-1-3-11-6-7-14-12(9-11)4-2-8-18-14/h2,4,6-10H,1,3,5H2,(H,21,22)(H,19,20,23)",C17H15N3O3,309.0,2.14,5.06,8.25,5.21,-80.0,2.5559383743724347,1,DRUGLIKE_CONCAT,Druglike_37
C/C=C/C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1C,23/000000434,"InChI=1S/C17H15N3O3/c1-3-4-11-9-12(6-5-10(11)2)13-7-8-14(18-13)15(21)16-19-17(22)23-20-16/h3-9,18H,1-2H3,(H,19,20,22)/b4-3+",C17H15N3O3,309.0,2.83,5.05,5.29,5.09,-200.0,3.142018116169099,1,DRUGLIKE_CONCAT,Druglike_38
NC(=O)NC1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1I,23/000000475,"InChI=1S/C14H10IN5O4/c15-7-2-1-6(5-10(7)18-13(16)22)8-3-4-9(17-8)11(21)12-19-14(23)24-20-12/h1-5,17H,(H3,16,18,22)(H,19,20,23)",C14H10N5O4I,439.0,1.22,5.04,6.65,3.58,-120.0,3.1729643768947255,1,DRUGLIKE_CONCAT,Druglike_39
N[C@H](C1=COC(C(=O)O)=C1)C1=NC(I)=C(C#CC(=O)O)C=C1,26/000000034,"InChI=1S/C14H9IN2O5/c15-13-7(2-4-11(18)19)1-3-9(17-13)12(16)8-5-10(14(20)21)22-6-8/h1,3,5-6,12H,16H2,(H,18,19)(H,20,21)/t12-/m1/s1",C14H9N2O5I,412.0,1.22,5.04,3.58,24.7,-150.0,3.9709064281061153,1,DRUGLIKE_CONCAT,Druglike_40
NC[C@H](/C=C/CC1=NC=CC(F)=C1CCBr)C1=NC(N)=C2C=NNC2=N1,21/000000040,"InChI=1S/C17H19BrFN7/c18-6-4-11-13(19)5-7-22-14(11)3-1-2-10(8-20)16-24-15(21)12-9-23-26-17(12)25-16/h1-2,5,7,9-10H,3-4,6,8,20H2,(H3,21,23,24,25,26)/b2-1+/t10-/m0/s1",C17H19N7FBr,420.0,2.26,5.04,5.24,24.8,-190.0,4.180479130029589,1,DRUGLIKE_CONCAT,Druglike_41
O=C(C1=CC=C(C2=CC(CNCC#CCO)=C(Br)C=C2)N1)C1=NC(=O)ON1,23/000000392,"InChI=1S/C18H15BrN4O4/c19-13-4-3-11(9-12(13)10-20-7-1-2-8-24)14-5-6-15(21-14)16(25)17-22-18(26)27-23-17/h3-6,9,20-21,24H,7-8,10H2,(H,22,23,26)",C18H15N4O4Br,431.0,1.7,5.03,5.6,4.94,-120.0,3.3598248629369225,1,DRUGLIKE_CONCAT,Druglike_42
NCCC[C@@H](/C=C/C1=CN=C(CO)C(Br)=C1)C1=NOC(=O)N1,13/000000089,"InChI=1S/C14H17BrN4O3/c15-11-6-9(7-17-12(11)8-20)3-4-10(2-1-5-16)13-18-14(21)22-19-13/h3-4,6-7,10,20H,1-2,5,8,16H2,(H,18,19,21)/b4-3+/t10-/m0/s1",C14H17N4O3Br,369.0,0.9,5.02,9.45,3.7,-150.0,4.051984740761203,1,DRUGLIKE_CONCAT,Druglike_43
CC(=O)C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1C,23/000000497,"InChI=1S/C16H13N3O4/c1-8-3-4-10(7-11(8)9(2)20)12-5-6-13(17-12)14(21)15-18-16(22)23-19-15/h3-7,17H,1-2H3,(H,18,19,22)",C16H13N3O4,311.0,1.84,5.0,5.86,5.09,-200.0,2.938693138358449,1,DRUGLIKE_CONCAT,Druglike_44
CC#CCC1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1O,23/000000375,"InChI=1S/C17H13N3O4/c1-2-3-4-11-9-10(5-8-14(11)21)12-6-7-13(18-12)15(22)16-19-17(23)24-20-16/h5-9,18,21H,4H2,1H3,(H,19,20,23)",C17H13N3O4,323.0,2.07,4.99,7.06,5.09,-140.0,3.3423389125873033,1,DRUGLIKE_CONCAT,Druglike_45
C=CCN(C(N)=O)C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1,23/000000386,"InChI=1S/C17H15N5O4/c1-2-8-22(16(18)24)11-5-3-4-10(9-11)12-6-7-13(19-12)14(23)15-20-17(25)26-21-15/h2-7,9,19H,1,8H2,(H2,18,24)(H,20,21,25)",C17H15N5O4,353.0,0.9,4.98,9.32,4.94,-120.0,3.198717582192849,1,DRUGLIKE_CONCAT,Druglike_46
O=C(O)C1=CN=C(O)N=C1[C@@H](O)C1=CN=C2NC=CC2=C1,29/000000228,"InChI=1S/C13H10N4O4/c18-10(7-3-6-1-2-14-11(6)15-4-7)9-8(12(19)20)5-16-13(21)17-9/h1-5,10,18H,(H,14,15)(H,19,20)(H,16,17,21)/t10-/m0/s1",C13H10N4O4,286.0,0.15,4.98,6.88,18.0,-190.0,3.5526108373749956,1,DRUGLIKE_CONCAT,Druglike_47
O=C(C1=CC=C(C2=CC=CC(OCCCCCl)=C2)N1)C1=NC(=O)ON1,23/000000487,"InChI=1S/C17H16ClN3O4/c18-8-1-2-9-24-12-5-3-4-11(10-12)13-6-7-14(19-13)15(22)16-20-17(23)25-21-16/h3-7,10,19H,1-2,8-9H2,(H,20,21,23)",C17H16N3O4Cl,361.0,3.17,4.97,6.19,4.94,-120.0,2.901633928484335,1,DRUGLIKE_CONCAT,Druglike_48
CCCC1=CC=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1CF,23/000000504,"InChI=1S/C17H16FN3O3/c1-2-3-10-4-5-11(8-12(10)9-18)13-6-7-14(19-13)15(22)16-20-17(23)24-21-16/h4-8,19H,2-3,9H2,1H3,(H,20,21,23)",C17H16N3O3F,329.0,2.93,4.96,5.65,5.09,-140.0,3.145788686342959,1,DRUGLIKE_CONCAT,Druglike_49
COC(=O)C1=CC(CC(=O)CNC/C=C/C2=CC(F)=CC=C2F)=CC(O)=C1,16/000000052,"InChI=1S/C20H19F2NO4/c1-27-20(26)15-7-13(8-17(24)11-15)9-18(25)12-23-6-2-3-14-10-16(21)4-5-19(14)22/h2-5,7-8,10-11,23-24H,6,9,12H2,1H3/b3-2+",C20H19NO4F2,375.0,3.16,4.96,5.08,5.08,-80.0,2.6486078079918673,1,DRUGLIKE_CONCAT,Druglike_50
NC1=C2C=NNC2=NC([C@@H](CBr)C(=O)O)=N1,21/000000009,"InChI=1S/C8H8BrN5O2/c9-1-3(8(15)16)6-12-5(10)4-2-11-14-7(4)13-6/h2-3H,1H2,(H,15,16)(H3,10,11,12,13,14)/t3-/m1/s1",C8H8N5O2Br,286.0,0.9,4.96,4.5,17.3,-190.0,3.7393945532606976,1,DRUGLIKE_CONCAT,Druglike_51
NC(=O)NC1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1Br,23/000000384,"InChI=1S/C14H10BrN5O4/c15-7-2-1-6(5-10(7)18-13(16)22)8-3-4-9(17-8)11(21)12-19-14(23)24-20-12/h1-5,17H,(H3,16,18,22)(H,19,20,23)",C14H10N5O4Br,392.0,0.95,4.96,6.95,3.58,-120.0,3.059554043944093,1,DRUGLIKE_CONCAT,Druglike_52
O=C1C=C[C@@H](/C(=C/C2=CN=C(CO)C(Br)=C2)C(=O)O)N1,13/000000052,"InChI=1S/C13H11BrN2O4/c14-9-4-7(5-15-11(9)6-17)3-8(13(19)20)10-1-2-12(18)16-10/h1-5,10,17H,6H2,(H,16,18)(H,19,20)/b8-3-/t10-/m0/s1",C13H11N2O4Br,339.0,-0.02,4.96,6.52,2.47,-150.0,3.983647677499608,1,DRUGLIKE_CONCAT,Druglike_53
O=C(C1=CC=C(C2=CC=CC(I)=C2)N1)C1=NC(=O)ON1,23/000000057,"InChI=1S/C13H8IN3O3/c14-8-3-1-2-7(6-8)9-4-5-10(15-9)11(18)12-16-13(19)20-17-12/h1-6,15H,(H,16,17,19)",C13H8N3O3I,381.0,2.84,4.95,5.8,3.58,-120.0,3.044442111180911,1,DRUGLIKE_CONCAT,Druglike_54
C/C(=C\C1=CC=C(CO)C=C1)CCC1=CC(N2C=NOC2)=CN=C1O,11/000000002,"InChI=1S/C19H21N3O3/c1-14(8-15-3-5-16(11-23)6-4-15)2-7-17-9-18(10-20-19(17)24)22-12-21-25-13-22/h3-6,8-10,12,23H,2,7,11,13H2,1H3,(H,20,24)/b14-8+",C19H21N3O3,339.0,3.39,4.95,4.9,19.1,-140.0,3.442578159253565,1,DRUGLIKE_CONCAT,Druglike_55
C=C(CCC[C@@H](NC(N)N)C(=O)C1=COCC=C1)C1=NN=C(C(=O)O)N1,2/000000010,"InChI=1S/C16H22N6O4/c1-9(13-20-14(15(24)25)22-21-13)4-2-6-11(19-16(17)18)12(23)10-5-3-7-26-8-10/h3,5,8,11,16,19H,1-2,4,6-7,17-18H2,(H,24,25)(H,20,21,22)/t11-/m1/s1",C16H20N6O4,360.0,1.04,4.95,4.41,6.45,-150.0,4.647311406536865,1,DRUGLIKE_CONCAT,Druglike_56
O=C(C1=CC=C(C2=CC=C(CF)C(C(=O)O)=C2)N1)C1=NC(=O)ON1,23/000000357,"InChI=1S/C15H10FN3O5/c16-6-8-2-1-7(5-9(8)14(21)22)10-3-4-11(17-10)12(20)13-18-15(23)24-19-13/h1-5,17H,6H2,(H,21,22)(H,18,19,23)",C15H10N3O5F,331.0,1.71,4.94,5.51,5.09,-120.0,3.136115008352819,1,DRUGLIKE_CONCAT,Druglike_57
CCCCCCCCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000154,"InChI=1S/C16H23N3O/c1-2-3-4-5-6-7-8-13-9-14(11-15(20)10-13)16-12-17-19-18-16/h9-12,20H,2-8H2,1H3,(H,17,18,19)",C16H23N3O,273.0,5.24,4.94,1.99,17.4,-140.0,2.415203859051914,1,DRUGLIKE_CONCAT,Druglike_58
O=C(C1=CC=C(C2=CC=C(O)C(I)=C2)N1)C1=NC(=O)ON1,23/000000396,"InChI=1S/C13H8IN3O4/c14-7-5-6(1-4-10(7)18)8-2-3-9(15-8)11(19)12-16-13(20)21-17-12/h1-5,15,18H,(H,16,17,20)",C13H8N3O4I,397.0,2.43,4.93,5.95,3.58,-120.0,3.1716240637176982,1,DRUGLIKE_CONCAT,Druglike_59
C=CC1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1CF,23/000000358,"InChI=1S/C16H12FN3O3/c1-2-9-7-10(3-4-11(9)8-17)12-5-6-13(18-12)14(21)15-19-16(22)23-20-15/h2-7,18H,1,8H2,(H,19,20,22)",C16H12N3O3F,313.0,2.61,4.93,6.09,5.09,-120.0,3.3715298321454323,1,DRUGLIKE_CONCAT,Druglike_60
